title,organization,rating,review_count,difficulty,course_type,duration,skills,title_tokenized,skills_tokenized,title_stopwordsized,skills_stopwordsized,title_lemmatized,skills_lemmatized
it security defense against the digital dark arts,google,4.809576441795286,25333,beginner,course,one_to_three_months,information systems security network security computer security application security security controls cybersecurity security awareness encryption data security cryptography security strategy information technology security management authorization computing threat management firewall identity and access management threat detection hardening malware protection,it security defense against the digital dark arts,information_systems_security network_security computer_security application_security security controls cybersecurity security_awareness encryption data_security cryptography security_strategy information_technology security_management authorization_computing threat_management firewall identity and access management_threat_detection hardening malware protection,security defense digital dark arts,information_systems_security network_security computer_security application_security security controls cybersecurity security_awareness encryption data_security cryptography security_strategy information_technology security_management authorization_computing threat_management firewall identity access management_threat_detection hardening malware protection,security defense digital dark art,information_systems_security network_security computer_security application_security security control cybersecurity security_awareness encryption data_security cryptography security_strategy information_technology security_management authorization_computing threat_management firewall identity access management_threat_detection hardening malware protection
introduction to social media marketing,meta,4.835658296798194,15054,beginner,course,one_to_three_months,social media marketing social media target audience social media strategy social media management marketing key performance indicators kpis goal setting facebook customer analysis marketing strategies marketing channel instagram digital marketing,introduction to social_media_marketing,social_media_marketing social_media target_audience social_media_strategy social_media_management marketing key_performance_indicators kpis goal setting facebook customer_analysis marketing_strategies_marketing channel instagram digital_marketing,introduction social_media_marketing,social_media_marketing social_media target_audience social_media_strategy social_media_management marketing key_performance_indicators kpis goal setting facebook customer_analysis marketing_strategies_marketing channel instagram digital_marketing,introduction social_media_marketing,social_media_marketing social_media target_audience social_media_strategy social_media_management marketing key_performance_indicators kpis goal setting facebook customer_analysis marketing_strategies_marketing channel instagram digital_marketing
social psychology,wesleyan university,4.721606648199446,5054,beginner,course,one_to_three_months,social sciences psychology persuasive communication behavior management conflict management interpersonal communications cultural diversity research ethical standards and conduct experimentation,social psychology,social_sciences psychology persuasive_communication behavior management_conflict_management interpersonal_communications cultural_diversity research ethical_standards and conduct experimentation,social psychology,social_sciences psychology persuasive_communication behavior management_conflict_management interpersonal_communications cultural_diversity research ethical_standards conduct experimentation,social psychology,social_science psychology persuasive_communication behavior management_conflict_management interpersonal_communications cultural_diversity research ethical_standards conduct experimentation
investment management,university of geneva,4.727533561463542,7598,beginner,specialization,three_to_six_months,portfolio management wealth management risk management investment management financial market business risk management capital markets risk analysis asset management performance measurement investments market dynamics environmental social and corporate governance esg financial planning finance equities performance analysis financial policy fintech economics,investment_management,portfolio_management wealth management_risk_management investment_management financial_market business_risk_management capital_markets risk_analysis asset management_performance_measurement investments market_dynamics environmental social and corporate_governance_esg financial_planning finance equities performance_analysis financial policy fintech economics,investment_management,portfolio_management wealth management_risk_management investment_management financial_market business_risk_management capital_markets risk_analysis asset management_performance_measurement investments market_dynamics environmental social corporate_governance_esg financial_planning finance equities performance_analysis financial policy fintech economics,investment_management,portfolio_management wealth management_risk_management investment_management financial_market business_risk_management capital_markets risk_analysis asset management_performance_measurement investment market_dynamics environmental social corporate_governance_esg financial_planning finance equity performance_analysis financial policy fintech economics
project management principles and practices,university of california irvine,4.714766822337697,30406,beginner,specialization,three_to_six_months,cost estimation stakeholder management project risk management project controls project schedules work breakdown structure project performance estimation conflict management quality management change control project management timelines milestones project management project planning peer review budgeting scheduling project management life cycle risk management,project_management principles and practices,cost_estimation stakeholder_management_project risk_management_project controls project_schedules work breakdown_structure_project performance estimation conflict management_quality_management change_control project_management timelines milestones_project_management project_planning peer_review budgeting scheduling project_management_life cycle risk_management,project_management principles practices,cost_estimation stakeholder_management_project risk_management_project controls project_schedules work breakdown_structure_project performance estimation conflict management_quality_management change_control project_management timelines milestones_project_management project_planning peer_review budgeting scheduling project_management_life cycle risk_management,project_management principle practice,cost_estimation stakeholder_management_project risk_management_project control project_schedules work breakdown_structure_project performance estimation conflict management_quality_management change_control project_management timeline milestones_project_management project_planning peer_review budgeting scheduling project_management_life cycle risk_management
think outside the inbox email marketing,google,4.779629629629629,2700,beginner,course,one_to_three_months,email marketing campaign management copywriting marketing strategy and techniques personally identifiable information digital marketing marketing automation newsletters hubspot crm marketing analytics promotional strategies data ethics performance analysis ab testing customer retention key performance indicators kpis,think outside the inbox email_marketing,email_marketing campaign_management copywriting marketing_strategy and techniques personally identifiable_information digital marketing_marketing automation newsletters hubspot crm marketing_analytics promotional_strategies data_ethics performance_analysis ab testing customer_retention key_performance_indicators kpis,think outside inbox email_marketing,email_marketing campaign_management copywriting marketing_strategy techniques personally identifiable_information digital marketing_marketing automation newsletters hubspot crm marketing_analytics promotional_strategies data_ethics performance_analysis testing customer_retention key_performance_indicators kpis,think outside inbox email_marketing,email_marketing campaign_management copywriting marketing_strategy technique personally identifiable_information digital marketing_marketing automation newsletter hubspot crm marketing_analytics promotional_strategies data_ethics performance_analysis testing customer_retention key_performance_indicators kpis
excel skills for business essentials,macquarie university,4.869689010085618,49873,beginner,course,one_to_three_months,microsoft excel data visualization spreadsheet software excel formulas data management data entry productivity software,excel skills for business essentials,microsoft excel data_visualization spreadsheet_software excel_formulas data_management_data entry productivity_software,excel skills business essentials,microsoft excel data_visualization spreadsheet_software excel_formulas data_management_data entry productivity_software,excel skill business essential,microsoft excel data_visualization spreadsheet_software excel_formulas data_management_data entry productivity_software
generative ai introduction and applications,ibm,4.661680911680912,2808,beginner,course,one_to_four_weeks,generative ai chatgpt openai prompt engineering large language modeling artificial intelligence program development content creation image analysis virtual environment,generative ai introduction and applications,generative ai chatgpt openai prompt_engineering large_language_modeling artificial intelligence_program_development content_creation image_analysis virtual_environment,generative ai introduction applications,generative ai chatgpt openai prompt_engineering large_language_modeling artificial intelligence_program_development content_creation image_analysis virtual_environment,generative ai introduction application,generative ai chatgpt openai prompt_engineering large_language_modeling artificial intelligence_program_development content_creation image_analysis virtual_environment
keller williams real estate agent,keller williams,4.724528301886793,159,beginner,professional certificate,three_to_six_months,lead generation administrative support real estate office management real estate sales value propositions property and real estate sales process customer relationship building database management real estate transactions customer acquisition management sales management organizational skills sales prospecting sales presentation showrooms contract negotiation interpersonal communications goal setting,keller williams real_estate agent,lead_generation administrative support real_estate office management real_estate sales value_propositions property and real_estate sales_process customer relationship_building database_management real_estate transactions customer acquisition management_sales management organizational_skills sales prospecting sales_presentation showrooms contract_negotiation interpersonal_communications goal setting,keller williams real_estate agent,lead_generation administrative support real_estate office management real_estate sales value_propositions property real_estate sales_process customer relationship_building database_management real_estate transactions customer acquisition management_sales management organizational_skills sales prospecting sales_presentation showrooms contract_negotiation interpersonal_communications goal setting,keller williams real_estate agent,lead_generation administrative support real_estate office management real_estate sale value_propositions property real_estate sales_process customer relationship_building database_management real_estate transaction customer acquisition management_sales management organizational_skills sale prospecting sales_presentation showroom contract_negotiation interpersonal_communications goal setting
data analytics foundations,deeplearningai,4.712871287128713,101,beginner,course,one_to_four_weeks,data storytelling google sheets data visualization spreadsheet software large language modeling data literacy data presentation data visualization software business analysis data analysis analytics business requirements exploratory data analysis datadriven decisionmaking stakeholder engagement,data analytics foundations,data storytelling google sheets data_visualization spreadsheet_software large_language_modeling data_literacy_data presentation_data_visualization software_business analysis_data_analysis analytics business_requirements exploratory_data_analysis datadriven decisionmaking stakeholder_engagement,data analytics foundations,data storytelling google sheets data_visualization spreadsheet_software large_language_modeling data_literacy_data presentation_data_visualization software_business analysis_data_analysis analytics business_requirements exploratory_data_analysis datadriven decisionmaking stakeholder_engagement,data analytics foundation,data storytelling google sheet data_visualization spreadsheet_software large_language_modeling data_literacy_data presentation_data_visualization software_business analysis_data_analysis analytics business_requirements exploratory_data_analysis datadriven decisionmaking stakeholder_engagement
entrepreneurship growing your business,university of virginia,4.756311572310521,7613,beginner,specialization,three_to_six_months,financial statements financial accounting balance sheet financial reporting financial statement analysis design thinking accounting innovation process design business modeling entrepreneurship philanthropy courage leadership development strategic leadership corporate sustainability stakeholder engagement professional development finance hr tech,entrepreneurship growing your business,financial_statements financial_accounting balance_sheet financial_reporting financial_statement_analysis design_thinking accounting innovation process_design business_modeling entrepreneurship philanthropy courage leadership_development strategic_leadership corporate_sustainability stakeholder_engagement professional_development finance hr tech,entrepreneurship growing business,financial_statements financial_accounting balance_sheet financial_reporting financial_statement_analysis design_thinking accounting innovation process_design business_modeling entrepreneurship philanthropy courage leadership_development strategic_leadership corporate_sustainability stakeholder_engagement professional_development finance tech,entrepreneurship growing business,financial_statement financial_accounting balance_sheet financial_reporting financial_statement_analysis design_thinking accounting innovation process_design business_modeling entrepreneurship philanthropy courage leadership_development strategic_leadership corporate_sustainability stakeholder_engagement professional_development finance tech
anatomy,university of michigan,4.825666666666668,3900,beginner,specialization,three_to_six_months,anatomy pulmonology cardiology respiration gynecology obstetrics and gynecology orthopedics neurology urology kinesiology medical imaging vital signs general medicine biology medical terminology,anatomy,anatomy pulmonology cardiology respiration gynecology obstetrics and gynecology orthopedics neurology urology kinesiology medical_imaging vital_signs general medicine biology medical_terminology,anatomy,anatomy pulmonology cardiology respiration gynecology obstetrics gynecology orthopedics neurology urology kinesiology medical_imaging vital_signs general medicine biology medical_terminology,anatomy,anatomy pulmonology cardiology respiration gynecology obstetrics gynecology orthopedics neurology urology kinesiology medical_imaging vital_sign general medicine biology medical_terminology
using public policy for social change,university of michigan,4.873239436619718,142,beginner,course,one_to_four_weeks,policy analysis policy development social justice advocacy public policies political sciences health policy economics policy and social studies program evaluation community and social work diversity equity and inclusion initiatives research problem solving,using public policy for social change,policy_analysis policy_development social_justice advocacy public_policies political_sciences health_policy economics_policy and social_studies program_evaluation community and social work diversity_equity and inclusion_initiatives research problem solving,using public policy social change,policy_analysis policy_development social_justice advocacy public_policies political_sciences health_policy economics_policy social_studies program_evaluation community social work diversity_equity inclusion_initiatives research problem solving,using public policy social change,policy_analysis policy_development social_justice advocacy public_policies political_science health_policy economics_policy social_studies program_evaluation community social work diversity_equity inclusion_initiatives research problem solving
cybersecurity for everyone,university of maryland college park,4.713624338624339,3024,beginner,course,one_to_three_months,cyber risk cyber security policies security management cybersecurity risk management cyber security strategy cyber attacks cyber governance infrastructure security telecommunications computer security awareness training threat detection enterprise security security awareness general networking data security vulnerability public safety and national security governance political sciences,cybersecurity for everyone,cyber_risk cyber_security_policies security management_cybersecurity risk_management cyber_security_strategy cyber_attacks cyber governance infrastructure_security telecommunications computer security_awareness training threat_detection enterprise_security security_awareness general networking data security_vulnerability public_safety and national_security governance political_sciences,cybersecurity everyone,cyber_risk cyber_security_policies security management_cybersecurity risk_management cyber_security_strategy cyber_attacks cyber governance infrastructure_security telecommunications computer security_awareness training threat_detection enterprise_security security_awareness general networking data security_vulnerability public_safety national_security governance political_sciences,cybersecurity everyone,cyber_risk cyber_security_policies security management_cybersecurity risk_management cyber_security_strategy cyber_attacks cyber governance infrastructure_security telecommunication computer security_awareness training threat_detection enterprise_security security_awareness general networking data security_vulnerability public_safety national_security governance political_science
clinical trials operations,johns hopkins university,4.718798449612403,516,beginner,specialization,three_to_six_months,clinical data management clinical trials sample size determination clinical research data quality healthcare ethics quality assurance data cleansing data management regulatory compliance data integrity data governance microsoft excel statistical reporting data compilation scientific methods biostatistics data sharing statistical analysis data collection,clinical_trials operations,clinical_data_management clinical_trials sample_size_determination clinical_research data_quality healthcare_ethics quality_assurance data_cleansing data_management regulatory_compliance data_integrity_data governance microsoft excel statistical_reporting data compilation scientific_methods biostatistics data sharing statistical_analysis_data collection,clinical_trials operations,clinical_data_management clinical_trials sample_size_determination clinical_research data_quality healthcare_ethics quality_assurance data_cleansing data_management regulatory_compliance data_integrity_data governance microsoft excel statistical_reporting data compilation scientific_methods biostatistics data sharing statistical_analysis_data collection,clinical_trial operation,clinical_data_management clinical_trial sample_size_determination clinical_research data_quality healthcare_ethics quality_assurance data_cleansing data_management regulatory_compliance data_integrity_data governance microsoft excel statistical_reporting data compilation scientific_method biostatistics data sharing statistical_analysis_data collection
put it to work prepare for cybersecurity jobs,google,4.848462664714495,5464,beginner,course,one_to_three_months,incident response computer security incident management incident management cybersecurity cyber threat intelligence security management security awareness data ethics data security personally identifiable information technical communication artificial intelligence,put it to work prepare for cybersecurity jobs,incident_response_computer security_incident_management incident management_cybersecurity cyber_threat_intelligence security_management security_awareness data_ethics_data security personally identifiable_information technical_communication artificial_intelligence,put work prepare cybersecurity jobs,incident_response_computer security_incident_management incident management_cybersecurity cyber_threat_intelligence security_management security_awareness data_ethics_data security personally identifiable_information technical_communication artificial_intelligence,put work prepare cybersecurity job,incident_response_computer security_incident_management incident management_cybersecurity cyber_threat_intelligence security_management security_awareness data_ethics_data security personally identifiable_information technical_communication artificial_intelligence
introduction to artificial intelligence ai,ibm,4.702734059725585,19824,beginner,course,one_to_four_weeks,generative ai chatgpt natural language processing market opportunities,introduction to artificial_intelligence ai,generative ai chatgpt natural_language_processing market_opportunities,introduction artificial_intelligence ai,generative ai chatgpt natural_language_processing market_opportunities,introduction artificial_intelligence ai,generative ai chatgpt natural_language_processing market_opportunities
ai for good,deeplearningai,4.724210526315789,475,beginner,specialization,one_to_three_months,disaster recovery data analysis jupyter exploratory data analysis data ethics image analysis emergency response artificial intelligence machine learning predictive modeling applied machine learning mitigation text mining environmental monitoring unstructured data computer vision deep learning data processing supervised learning natural language processing,ai for good,disaster_recovery data_analysis jupyter exploratory_data_analysis data_ethics image_analysis emergency_response artificial_intelligence_machine learning predictive_modeling applied machine_learning mitigation text_mining environmental_monitoring unstructured_data computer_vision deep_learning data_processing supervised_learning natural_language_processing,ai good,disaster_recovery data_analysis jupyter exploratory_data_analysis data_ethics image_analysis emergency_response artificial_intelligence_machine learning predictive_modeling applied machine_learning mitigation text_mining environmental_monitoring unstructured_data computer_vision deep_learning data_processing supervised_learning natural_language_processing,ai good,disaster_recovery data_analysis jupyter exploratory_data_analysis data_ethics image_analysis emergency_response artificial_intelligence_machine learning predictive_modeling applied machine_learning mitigation text_mining environmental_monitoring unstructured_data computer_vision deep_learning data_processing supervised_learning natural_language_processing
project management other tools for career development,university of california irvine,4.657589153346453,37099,beginner,specialization,three_to_six_months,business writing negotiation stakeholder management project performance business correspondence creative problemsolving problem solving conflict management concision project risk management editing decision making change control grammar project management creativity risk management emotional intelligence relationship building communication,project_management other tools for career development,business_writing negotiation stakeholder_management_project performance business_correspondence creative problemsolving problem solving conflict_management concision project_risk_management editing decision making change_control grammar project_management creativity risk_management emotional_intelligence relationship_building communication,project_management tools career development,business_writing negotiation stakeholder_management_project performance business_correspondence creative problemsolving problem solving conflict_management concision project_risk_management editing decision making change_control grammar project_management creativity risk_management emotional_intelligence relationship_building communication,project_management tool career development,business_writing negotiation stakeholder_management_project performance business_correspondence creative problemsolving problem solving conflict_management concision project_risk_management editing decision making change_control grammar project_management creativity risk_management emotional_intelligence relationship_building communication
java programming and software engineering fundamentals,duke university,4.591963798435512,21988,beginner,specialization,three_to_six_months,object oriented programming oop java java programming hypertext markup language html software design software design patterns data structures html and css debugging software engineering cryptography web development programming principles computer programming encryption ai personalization javascript algorithms data analysis cascading style sheets css,java programming and software_engineering fundamentals,object oriented_programming oop java java programming hypertext markup language html software_design software_design_patterns data_structures html and css debugging software_engineering cryptography web_development programming_principles_computer programming encryption ai_personalization javascript algorithms_data analysis cascading style_sheets_css,java programming software_engineering fundamentals,object oriented_programming oop java java programming hypertext markup language html software_design software_design_patterns data_structures html css debugging software_engineering cryptography web_development programming_principles_computer programming encryption ai_personalization javascript algorithms_data analysis cascading style_sheets_css,java programming software_engineering fundamental,object oriented_programming oop java java programming hypertext markup language html software_design software_design_patterns data_structure html cs debugging software_engineering cryptography web_development programming_principles_computer programming encryption ai_personalization javascript algorithms_data analysis cascading style_sheets_css
introduction to large language models,google cloud,4.439408866995074,1015,beginner,course,one_to_four_weeks,large language modeling prompt engineering generative ai google cloud platform artificial intelligence and machine learning aiml,introduction to large_language models,large_language_modeling prompt_engineering_generative ai google cloud platform artificial_intelligence and machine_learning_aiml,introduction large_language models,large_language_modeling prompt_engineering_generative ai google cloud platform artificial_intelligence machine_learning_aiml,introduction large_language model,large_language_modeling prompt_engineering_generative ai google cloud platform artificial_intelligence machine_learning_aiml
health informatics,johns hopkins university,4.427312295973884,919,beginner,specialization,three_to_six_months,health informatics health technology change management vendor management health policy health care process improvement workflow management health care administration healthcare industry knowledge health information management clinical leadership organizational change decision support systems solution design it management clinical data management health systems project management data science,health_informatics,health_informatics health_technology change_management vendor management_health policy health_care process_improvement workflow_management health_care administration healthcare_industry_knowledge health_information_management clinical_leadership organizational_change decision_support_systems solution_design it management clinical_data_management health_systems project_management data_science,health_informatics,health_informatics health_technology change_management vendor management_health policy health_care process_improvement workflow_management health_care administration healthcare_industry_knowledge health_information_management clinical_leadership organizational_change decision_support_systems solution_design management clinical_data_management health_systems project_management data_science,health_informatics,health_informatics health_technology change_management vendor management_health policy health_care process_improvement workflow_management health_care administration healthcare_industry_knowledge health_information_management clinical_leadership organizational_change decision_support_systems solution_design management clinical_data_management health_systems project_management data_science
digital manufacturing design technology,university at buffalo the state university of new york,4.601315979754154,6915,beginner,specialization,three_to_six_months,model based systems engineering systems engineering product lifecycle management intrusion detection and prevention security controls performance measurement control systems continuous monitoring anomaly detection machine controls incident response digital transformation vulnerability assessments cybersecurity manufacturing processes data sharing manufacturing operations product design manufacturing and production constructive feedback,digital manufacturing design technology,model based systems_engineering systems_engineering product_lifecycle_management intrusion_detection and prevention security controls performance_measurement control_systems continuous_monitoring anomaly detection machine controls incident_response digital_transformation vulnerability_assessments cybersecurity manufacturing_processes data sharing manufacturing_operations product_design manufacturing and production constructive_feedback,digital manufacturing design technology,model based systems_engineering systems_engineering product_lifecycle_management intrusion_detection prevention security controls performance_measurement control_systems continuous_monitoring anomaly detection machine controls incident_response digital_transformation vulnerability_assessments cybersecurity manufacturing_processes data sharing manufacturing_operations product_design manufacturing production constructive_feedback,digital manufacturing design technology,model based systems_engineering systems_engineering product_lifecycle_management intrusion_detection prevention security control performance_measurement control_system continuous_monitoring anomaly detection machine control incident_response digital_transformation vulnerability_assessments cybersecurity manufacturing_processes data sharing manufacturing_operations product_design manufacturing production constructive_feedback
science of exercise,university of colorado boulder,4.811792352061525,4681,beginner,course,one_to_four_weeks,kinesiology nutrition and diet health assessment pharmacology public health and disease prevention preventative care respiration anatomy chronic diseases vital signs biochemistry public health biology cardiology,science of exercise,kinesiology nutrition and diet health_assessment pharmacology public_health and disease_prevention preventative_care respiration anatomy chronic_diseases vital_signs biochemistry public_health biology cardiology,science exercise,kinesiology nutrition diet health_assessment pharmacology public_health disease_prevention preventative_care respiration anatomy chronic_diseases vital_signs biochemistry public_health biology cardiology,science exercise,kinesiology nutrition diet health_assessment pharmacology public_health disease_prevention preventative_care respiration anatomy chronic_diseases vital_sign biochemistry public_health biology cardiology
conduct ux research and test early concepts,google,4.786698418098316,5879,beginner,course,one_to_four_weeks,uiux research usability testing presentations user experience design user research mobile development data ethics research design prototyping technical communication information privacy,conduct ux research and test early concepts,uiux research_usability_testing presentations user_experience_design user_research mobile_development data_ethics research_design prototyping technical_communication information_privacy,conduct ux research test early concepts,uiux research_usability_testing presentations user_experience_design user_research mobile_development data_ethics research_design prototyping technical_communication information_privacy,conduct ux research test early concept,uiux research_usability_testing presentation user_experience_design user_research mobile_development data_ethics research_design prototyping technical_communication information_privacy
unilever supply chain data analyst,unilever,4.712231759656652,466,beginner,professional certificate,three_to_six_months,data governance descriptive analytics data storytelling supply chain supply chain management demand planning presentations data visualization supply chain systems supply chain planning process improvement data management data lakes predictive analytics forecasting data analysis data analysis software real time data data visualization software problem solving,unilever supply_chain data analyst,data_governance descriptive analytics_data storytelling supply_chain supply_chain_management demand planning presentations data_visualization supply_chain systems supply_chain_planning process_improvement data_management_data lakes predictive_analytics forecasting_data analysis_data_analysis software real_time_data data_visualization_software problem solving,unilever supply_chain data analyst,data_governance descriptive analytics_data storytelling supply_chain supply_chain_management demand planning presentations data_visualization supply_chain systems supply_chain_planning process_improvement data_management_data lakes predictive_analytics forecasting_data analysis_data_analysis software real_time_data data_visualization_software problem solving,unilever supply_chain data analyst,data_governance descriptive analytics_data storytelling supply_chain supply_chain_management demand planning presentation data_visualization supply_chain system supply_chain_planning process_improvement data_management_data lake predictive_analytics forecasting_data analysis_data_analysis software real_time_data data_visualization_software problem solving
supply chain analytics,rutgers the state university of new jersey,4.581916817359857,2212,beginner,specialization,three_to_six_months,demand planning competitive intelligence strategic sourcing customer demand planning competitive analysis procurement market intelligence purchasing supply chain supplier performance management supplier management inventory management supply management vendor management management consulting data collection inventory control business intelligence supply chain management data analysis,supply_chain analytics,demand planning competitive_intelligence strategic sourcing customer demand planning competitive_analysis procurement market_intelligence purchasing supply_chain supplier performance_management supplier management_inventory management_supply management vendor_management management consulting data_collection inventory control business_intelligence supply_chain management_data_analysis,supply_chain analytics,demand planning competitive_intelligence strategic sourcing customer demand planning competitive_analysis procurement market_intelligence purchasing supply_chain supplier performance_management supplier management_inventory management_supply management vendor_management management consulting data_collection inventory control business_intelligence supply_chain management_data_analysis,supply_chain analytics,demand planning competitive_intelligence strategic sourcing customer demand planning competitive_analysis procurement market_intelligence purchasing supply_chain supplier performance_management supplier management_inventory management_supply management vendor_management management consulting data_collection inventory control business_intelligence supply_chain management_data_analysis
financial management,duke university,4.804117647058824,170,beginner,specialization,three_to_six_months,financial statement analysis financial statements return on investment risk management balance sheet accounts receivable business risk management credit risk income statement operational risk resource allocation proposal development cash management capital budgeting financial analysis cash flows financial data strategic decisionmaking operational efficiency stakeholder communications,financial_management,financial_statement_analysis financial_statements return on investment risk_management balance_sheet accounts receivable business_risk_management credit_risk income_statement operational_risk resource_allocation proposal_development cash management_capital budgeting financial_analysis cash flows financial_data strategic decisionmaking operational_efficiency stakeholder_communications,financial_management,financial_statement_analysis financial_statements return investment risk_management balance_sheet accounts receivable business_risk_management credit_risk income_statement operational_risk resource_allocation proposal_development cash management_capital budgeting financial_analysis cash flows financial_data strategic decisionmaking operational_efficiency stakeholder_communications,financial_management,financial_statement_analysis financial_statement return investment risk_management balance_sheet account receivable business_risk_management credit_risk income_statement operational_risk resource_allocation proposal_development cash management_capital budgeting financial_analysis cash flow financial_data strategic decisionmaking operational_efficiency stakeholder_communications
bioinformatics,university of california san diego,4.295036028823059,1249,beginner,specialization,three_to_six_months,bioinformatics molecular biology dimensionality reduction unsupervised learning applied machine learning data analysis markov model biochemistry life sciences microbiology statistical analysis medical science and research precision medicine biology pharmacology algorithms infectious diseases data mining machine learning python programming,bioinformatics,bioinformatics molecular_biology dimensionality_reduction unsupervised_learning applied machine_learning data_analysis markov model biochemistry life_sciences microbiology statistical_analysis medical_science and research precision_medicine biology pharmacology algorithms infectious_diseases data_mining machine_learning python_programming,bioinformatics,bioinformatics molecular_biology dimensionality_reduction unsupervised_learning applied machine_learning data_analysis markov model biochemistry life_sciences microbiology statistical_analysis medical_science research precision_medicine biology pharmacology algorithms infectious_diseases data_mining machine_learning python_programming,bioinformatics,bioinformatics molecular_biology dimensionality_reduction unsupervised_learning applied machine_learning data_analysis markov model biochemistry life_science microbiology statistical_analysis medical_science research precision_medicine biology pharmacology algorithm infectious_disease data_mining machine_learning python_programming
making architecture,ie business school ie school of architecture design,4.75962910128388,1402,beginner,course,one_to_four_weeks,architectural design storytelling creativity design thinking design elements and principles photography design,making architecture,architectural_design storytelling creativity design_thinking design_elements and principles photography design,making architecture,architectural_design storytelling creativity design_thinking design_elements principles photography design,making architecture,architectural_design storytelling creativity design_thinking design_elements principle photography design
healthcare it support,johns hopkins university,4.747396630934151,1306,beginner,specialization,three_to_six_months,medical privacy electronic medical record telehealth patient safety health technology health information management medical equipment and technology security awareness cloud security personally identifiable information encryption desktop support end user training and support health care technical support and services decision support systems health care procedure and regulation help desk support technical support customer support,healthcare it support,medical_privacy electronic medical_record telehealth patient_safety health_technology health_information_management medical_equipment and technology security_awareness cloud_security personally identifiable_information encryption desktop_support end user training and support health_care technical_support and services decision_support_systems health_care_procedure and regulation help desk support technical_support customer_support,healthcare support,medical_privacy electronic medical_record telehealth patient_safety health_technology health_information_management medical_equipment technology security_awareness cloud_security personally identifiable_information encryption desktop_support end user training support health_care technical_support services decision_support_systems health_care_procedure regulation help desk support technical_support customer_support,healthcare support,medical_privacy electronic medical_record telehealth patient_safety health_technology health_information_management medical_equipment technology security_awareness cloud_security personally identifiable_information encryption desktop_support end user training support health_care technical_support service decision_support_systems health_care_procedure regulation help desk support technical_support customer_support
introduction to english common law,university of london,4.810094952523738,2001,beginner,course,one_to_three_months,court systems case law legal research legal proceedings law regulation and compliance civil law social studies political sciences european history governance,introduction to english common law,court_systems case_law legal_research legal_proceedings law_regulation and compliance civil_law social_studies political_sciences european_history governance,introduction english common law,court_systems case_law legal_research legal_proceedings law_regulation compliance civil_law social_studies political_sciences european_history governance,introduction english common law,court_systems case_law legal_research legal_proceeding law_regulation compliance civil_law social_studies political_science european_history governance
accounting,university of lausanne,4.734299516908212,207,beginner,course,one_to_three_months,balance sheet income statement cash flows financial accounting financial statements accounting bookkeeping working capital general accounting accrual accounting financial reporting financial analysis ledgers accounting profit and loss pl management accounts payable and receivable reconciliation,accounting,balance_sheet income_statement_cash flows financial_accounting financial_statements_accounting bookkeeping working_capital general accounting accrual_accounting financial_reporting financial_analysis ledgers accounting profit and loss pl management accounts payable and receivable reconciliation,accounting,balance_sheet income_statement_cash flows financial_accounting financial_statements_accounting bookkeeping working_capital general accounting accrual_accounting financial_reporting financial_analysis ledgers accounting profit loss management accounts payable receivable reconciliation,accounting,balance_sheet income_statement_cash flow financial_accounting financial_statements_accounting bookkeeping working_capital general accounting accrual_accounting financial_reporting financial_analysis ledger accounting profit loss management account payable receivable reconciliation
data analysis with r,duke university,4.6972940549186815,7502,beginner,specialization,three_to_six_months,statistical hypothesis testing sampling statistics statistical inference exploratory data analysis regression analysis statistical reporting probability distribution statistical methods data analysis software r programming bayesian statistics statistical analysis data analysis statistical software statistical modeling probability statistics probability statistics correlation analysis data visualization,data_analysis with r,statistical_hypothesis_testing sampling_statistics statistical_inference exploratory_data analysis_regression_analysis statistical_reporting probability_distribution statistical_methods data_analysis_software r_programming bayesian_statistics statistical_analysis_data analysis statistical software statistical modeling_probability_statistics probability_statistics correlation analysis_data_visualization,data_analysis r,statistical_hypothesis_testing sampling_statistics statistical_inference exploratory_data analysis_regression_analysis statistical_reporting probability_distribution statistical_methods data_analysis_software r_programming bayesian_statistics statistical_analysis_data analysis statistical software statistical modeling_probability_statistics probability_statistics correlation analysis_data_visualization,data_analysis r,statistical_hypothesis_testing sampling_statistics statistical_inference exploratory_data analysis_regression_analysis statistical_reporting probability_distribution statistical_method data_analysis_software r_programming bayesian_statistics statistical_analysis_data analysis statistical software statistical modeling_probability_statistics probability_statistics correlation analysis_data_visualization
